user_id,organizational_structure_id,location_id,geographical_unit_id,sub_business_id,job_title,assignment_type,start_date,end_date,responsibilities
60c87157-391f-4952-859a-8a15d11b14a8,462c4efb-a910-4c66-89a4-f025a61bcfee,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Chief Executive Officer,PRIMARY,2024-01-01,,Strategic leadership and overall company direction
0a22caa1-90c8-475d-8961-87541e2d9111,3301c5b4-4830-4b75-88fc-563bbec49027,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Chief Financial Officer,PRIMARY,2024-01-01,,Financial planning and management
23b36330-98ed-48ae-9110-470f8e9fac0d,b931fb0c-e62a-44fd-b1ae-176c9cce17be,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Chief Technology Officer,PRIMARY,2024-01-01,,Technology strategy and development
355241ee-0d52-4370-bb26-08ee75c5149c,300c86a7-3eed-41fd-909c-1ef40e877452,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,Sales Manager,PRIMARY,2024-01-15,,Lead inside sales team and manage sales pipeline
f6f75daf-734e-408d-a866-7c5be5530777,ea7a956c-e9d5-43ca-9d1d-a85704709e76,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,Digital Marketing Specialist,PRIMARY,2024-02-01,,Manage digital marketing campaigns and social media
5694f28e-08ee-400b-8a43-e0e98b01e1b3,5e686863-2651-44a9-a56b-c463aee714d6,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Customer Support Lead,PRIMARY,2024-01-20,,Manage customer support team and resolve escalated issues
96892733-b119-49e3-8ebf-b50b8a75dbb3,93163976-9174-423f-863b-a390abeeeec4,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,Recruitment Specialist,PRIMARY,2024-02-15,,Source and recruit top talent for the organization
38e863b8-e9d4-45c9-8e04-964ef5705b44,970ff412-cb07-4f9a-a90e-d0154f345607,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Benefits Administrator,PRIMARY,2024-03-01,,Manage employee benefits and compensation packages
aabd9a4a-6e72-44e8-a58e-be68eb50642a,3d61b852-d5ba-4552-ab57-eb11d5bff986,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,Employee Relations Manager,PRIMARY,2024-02-20,,Handle employee relations and workplace policies
971e264b-2a96-4044-a2ed-8ad0f4b5cfe5,ec155d5e-7c71-47e9-a4a1-0dccaa5ffe14,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Frontend Developer,PRIMARY,2024-01-10,,Develop and maintain frontend applications
e21105ab-5e60-48d4-864c-8f4f09990ba7,8cc08bcd-5df9-4d31-b6b5-baedcda54b21,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,Backend Developer,PRIMARY,2024-01-10,,Develop and maintain backend services and APIs
ca93b462-6a4c-4cfd-ae60-a047cfaf0291,666de154-4005-474b-a29b-fe9525f18f42,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,DevOps Engineer,PRIMARY,2024-01-15,,Manage infrastructure and deployment pipelines
4d6c42a9-e1f9-42d6-a114-42d307d7c3b6,a4f6840a-d6d8-4f20-b200-4c36433a9ebe,155fa11c-ac85-436c-83fb-f18972af6f42,f2aa7747-2784-4f55-b4ac-acf6942d5c0f,,QA Engineer,PRIMARY,2024-02-01,,Test applications and ensure quality standards
5b282e4c-1060-49fd-9000-e8798944b34b,f20b3500-7af4-402f-b65a-946caf06cbc8,aff721de-9eb7-47d8-885a-6edd3da8701a,da6b41cc-7969-452c-a2dc-b8cced675bfa,,Mobile Developer,PRIMARY,2024-02-10,,Develop mobile applications for iOS and Android
